t,x,y,x_out,y_out
4,1.84E-17,0.251,7.35E-17,0.416
5,1.84E-17,0.251,9.18E-17,0.275
6,1.84E-17,0.251,1.10E-16,0.036
0,0.078801,0.012566,0,0
1,0.078801,0.012566,0.078801,0.012566
0,0.77135,0.87025,0,0
1,0.77135,0.87025,0.77135,0.87025
2,0.77135,0.87025,1.5427,1.6425
3,0.77135,0.87025,2.314,2.3168
4,0.77135,0.87025,3.0854,2.893
5,0.77135,0.87025,3.8567,3.3713
6,0.77135,0.87025,4.6281,3.7515
7,0.77135,0.87025,5.3994,4.0338
8,0.77135,0.87025,6.1708,4.218
9,0.77135,0.87025,6.9421,4.3043
10,0.77135,0.87025,7.7135,4.2925
11,0.77135,0.87025,8.4848,4.1828
12,0.77135,0.87025,9.2561,3.975
13,0.77135,0.87025,10.027,3.6693
14,0.77135,0.87025,10.799,3.2655
15,0.77135,0.87025,11.57,2.7638
16,0.77135,0.87025,12.342,2.1641
17,0.77135,0.87025,13.113,1.4663
18,0.77135,0.87025,13.884,0.67056
0,1.4095,0.46403,0,0
1,1.4095,0.46403,1.4095,0.46403
2,1.4095,0.46403,2.8191,0.83006
3,1.4095,0.46403,4.2286,1.0981
4,1.4095,0.46403,5.6382,1.2681
5,1.4095,0.46403,7.0477,1.3402
6,1.4095,0.46403,8.4572,1.3142
7,1.4095,0.46403,9.8668,1.1902
8,1.4095,0.46403,11.276,0.96824
9,1.4095,0.46403,12.686,0.64827
10,1.4095,0.46403,14.095,0.2303
0,0.35967,0.29833,0,0
1,0.35967,0.29833,0.35967,0.29833
2,0.35967,0.29833,0.71934,0.49866
3,0.35967,0.29833,1.079,0.60099
4,0.35967,0.29833,1.4387,0.60532
5,0.35967,0.29833,1.7983,0.51165
6,0.35967,0.29833,2.158,0.31998
7,0.35967,0.29833,2.5177,0.030304
0,0.052264,0.44826,0,0
1,0.052264,0.44826,0.052264,0.44826
2,0.052264,0.44826,0.10453,0.79852
3,0.052264,0.44826,0.15679,1.0508
4,0.052264,0.44826,0.20906,1.205
5,0.052264,0.44826,0.26132,1.2613
6,0.052264,0.44826,0.31359,1.2196
7,0.052264,0.44826,0.36585,1.0798
8,0.052264,0.44826,0.41811,0.84209
9,0.052264,0.44826,0.47038,0.50635
10,0.052264,0.44826,0.52264,0.072609
0,1.4869,0.77518,0,0
1,1.4869,0.77518,1.4869,0.77518
2,1.4869,0.77518,2.9737,1.4524
3,1.4869,0.77518,4.4606,2.0315
4,1.4869,0.77518,5.9474,2.5127
5,1.4869,0.77518,7.4343,2.8959
6,1.4869,0.77518,8.9211,3.1811
7,1.4869,0.77518,10.408,3.3682
8,1.4869,0.77518,11.895,3.4574
9,1.4869,0.77518,13.382,3.4486
10,1.4869,0.77518,14.869,3.3418
11,1.4869,0.77518,16.355,3.1369
12,1.4869,0.77518,17.842,2.8341
13,1.4869,0.77518,19.329,2.4333
14,1.4869,0.77518,20.816,1.9345
15,1.4869,0.77518,22.303,1.3376
16,1.4869,0.77518,23.79,0.64282
0,0.30782,0.79672,0,0
1,0.30782,0.79672,0.30782,0.79672
2,0.30782,0.79672,0.61564,1.4954
3,0.30782,0.79672,0.92345,2.0962
4,0.30782,0.79672,1.2313,2.5989
5,0.30782,0.79672,1.5391,3.0036
6,0.30782,0.79672,1.8469,3.3103
7,0.30782,0.79672,2.1547,3.5191
8,0.30782,0.79672,2.4625,3.6298
9,0.30782,0.79672,2.7704,3.6425
10,0.30782,0.79672,3.0782,3.5572
11,0.30782,0.79672,3.386,3.374
12,0.30782,0.79672,3.6938,3.0927
13,0.30782,0.79672,4.0016,2.7134
14,0.30782,0.79672,4.3095,2.2361
15,0.30782,0.79672,4.6173,1.6609
16,0.30782,0.79672,4.9251,0.98757
17,0.30782,0.79672,5.2329,0.2163
0,0.27189,0.077785,0,0
1,0.27189,0.077785,0.27189,0.077785
2,0.27189,0.077785,0.54378,0.057571
0,0.13383,0.099629,0,0
1,0.13383,0.099629,0.13383,0.099629
2,0.13383,0.099629,0.26765,0.10126
3,0.13383,0.099629,0.40148,0.0048869
0,1.0239,0.9058,0,0
1,1.0239,0.9058,1.0239,0.9058
2,1.0239,0.9058,2.0478,1.7136
3,1.0239,0.9058,3.0717,2.4234
4,1.0239,0.9058,4.0956,3.0352
5,1.0239,0.9058,5.1195,3.549
6,1.0239,0.9058,6.1434,3.9648
7,1.0239,0.9058,7.1673,4.2826
8,1.0239,0.9058,8.1912,4.5024
9,1.0239,0.9058,9.2151,4.6242
10,1.0239,0.9058,10.239,4.648
11,1.0239,0.9058,11.263,4.5738
12,1.0239,0.9058,12.287,4.4016
13,1.0239,0.9058,13.311,4.1314
14,1.0239,0.9058,14.335,3.7632
15,1.0239,0.9058,15.358,3.297
16,1.0239,0.9058,16.382,2.7328
17,1.0239,0.9058,17.406,2.0706
18,1.0239,0.9058,18.43,1.3104
19,1.0239,0.9058,19.454,0.45216
0,0.57851,0.64044,0,0
1,0.57851,0.64044,0.57851,0.64044
2,0.57851,0.64044,1.157,1.1829
3,0.57851,0.64044,1.7355,1.6273
4,0.57851,0.64044,2.314,1.9738
5,0.57851,0.64044,2.8925,2.2222
6,0.57851,0.64044,3.4711,2.3726
7,0.57851,0.64044,4.0496,2.4251
8,0.57851,0.64044,4.6281,2.3795
9,0.57851,0.64044,5.2066,2.236
10,0.57851,0.64044,5.7851,1.9944
11,0.57851,0.64044,6.3636,1.6548
12,0.57851,0.64044,6.9421,1.2173
13,0.57851,0.64044,7.5206,0.68172
14,0.57851,0.64044,8.0991,0.04816
0,1.0068,1.5623,0,0
1,1.0068,1.5623,1.0068,1.5623
2,1.0068,1.5623,2.0137,3.0266
3,1.0068,1.5623,3.0205,4.3929
4,1.0068,1.5623,4.0274,5.6612
5,1.0068,1.5623,5.0342,6.8315
6,1.0068,1.5623,6.0411,7.9037
7,1.0068,1.5623,7.0479,8.878
8,1.0068,1.5623,8.0548,9.7543
9,1.0068,1.5623,9.0616,10.533
10,1.0068,1.5623,10.068,11.213
11,1.0068,1.5623,11.075,11.795
12,1.0068,1.5623,12.082,12.279
13,1.0068,1.5623,13.089,12.666
14,1.0068,1.5623,14.096,12.954
15,1.0068,1.5623,15.103,13.144
16,1.0068,1.5623,16.11,13.237
17,1.0068,1.5623,17.116,13.231
18,1.0068,1.5623,18.123,13.127
19,1.0068,1.5623,19.13,12.926
20,1.0068,1.5623,20.137,12.626
21,1.0068,1.5623,21.144,12.228
22,1.0068,1.5623,22.151,11.732
23,1.0068,1.5623,23.157,11.139
24,1.0068,1.5623,24.164,10.447
25,1.0068,1.5623,25.171,9.6573
26,1.0068,1.5623,26.178,8.7696
27,1.0068,1.5623,27.185,7.7839
28,1.0068,1.5623,28.192,6.7002
29,1.0068,1.5623,29.199,5.5185
30,1.0068,1.5623,30.205,4.2387
31,1.0068,1.5623,31.212,2.861
32,1.0068,1.5623,32.219,1.3853
0,0.32766,0.18043,0,0
1,0.32766,0.18043,0.32766,0.18043
2,0.32766,0.18043,0.65532,0.26286
3,0.32766,0.18043,0.98298,0.24729
4,0.32766,0.18043,1.3106,0.13372
0,0.98298,0.63929,0,0
1,0.98298,0.63929,0.98298,0.63929
2,0.98298,0.63929,1.966,1.1806
3,0.98298,0.63929,2.9489,1.6239
4,0.98298,0.63929,3.9319,1.9692
5,0.98298,0.63929,4.9149,2.2165
6,0.98298,0.63929,5.8979,2.3658
7,0.98298,0.63929,6.8809,2.417
8,0.98298,0.63929,7.8639,2.3703
9,0.98298,0.63929,8.8468,2.2256
10,0.98298,0.63929,9.8298,1.9829
11,0.98298,0.63929,10.813,1.6422
12,0.98298,0.63929,11.796,1.2035
13,0.98298,0.63929,12.779,0.66679
14,0.98298,0.63929,13.762,0.032084
0,1.5301,0.41879,0,0
1,1.5301,0.41879,1.5301,0.41879
2,1.5301,0.41879,3.0602,0.73959
3,1.5301,0.41879,4.5903,0.96238
4,1.5301,0.41879,6.1204,1.0872
5,1.5301,0.41879,7.6504,1.114
6,1.5301,0.41879,9.1805,1.0428
7,1.5301,0.41879,10.711,0.87356
8,1.5301,0.41879,12.241,0.60636
9,1.5301,0.41879,13.771,0.24115
0,0.28366,0.04867,0,0
1,0.28366,0.04867,0.28366,0.04867
0,1.3482,0.60856,0,0
1,1.3482,0.60856,1.3482,0.60856
2,1.3482,0.60856,2.6964,1.1191
3,1.3482,0.60856,4.0446,1.5317
4,1.3482,0.60856,5.3928,1.8462
5,1.3482,0.60856,6.741,2.0628
6,1.3482,0.60856,8.0891,2.1813
7,1.3482,0.60856,9.4373,2.2019
8,1.3482,0.60856,10.786,2.1245
9,1.3482,0.60856,12.134,1.949
10,1.3482,0.60856,13.482,1.6756
11,1.3482,0.60856,14.83,1.3041
12,1.3482,0.60856,16.178,0.83468
13,1.3482,0.60856,17.526,0.26724
0,0.23314,0.1398,0,0
1,0.23314,0.1398,0.23314,0.1398
2,0.23314,0.1398,0.46629,0.18159
3,0.23314,0.1398,0.69943,0.12539
0,0.079864,0.011182,0,0
1,0.079864,0.011182,0.079864,0.011182
0,0.60622,0.301,0,0
1,0.60622,0.301,0.60622,0.301
2,0.60622,0.301,1.2124,0.504
3,0.60622,0.301,1.8187,0.609
4,0.60622,0.301,2.4249,0.616
5,0.60622,0.301,3.0311,0.525
6,0.60622,0.301,3.6373,0.336
7,0.60622,0.301,4.2435,0.049
0,1.4766,1.1467,0,0
1,1.4766,1.1467,1.4766,1.1467
2,1.4766,1.1467,2.9532,2.1954
3,1.4766,1.1467,4.4297,3.1461
4,1.4766,1.1467,5.9063,3.9988
5,1.4766,1.1467,7.3829,4.7535
6,1.4766,1.1467,8.8595,5.4103
7,1.4766,1.1467,10.336,5.969
8,1.4766,1.1467,11.813,6.4297
9,1.4766,1.1467,13.289,6.7924
10,1.4766,1.1467,14.766,7.0571
11,1.4766,1.1467,16.242,7.2238
12,1.4766,1.1467,17.719,7.2925
13,1.4766,1.1467,19.196,7.2632
14,1.4766,1.1467,20.672,7.1359
15,1.4766,1.1467,22.149,6.9106
16,1.4766,1.1467,23.625,6.5873
17,1.4766,1.1467,25.102,6.166
18,1.4766,1.1467,26.578,5.6468
19,1.4766,1.1467,28.055,5.0295
20,1.4766,1.1467,29.532,4.3142
21,1.4766,1.1467,31.008,3.5009
22,1.4766,1.1467,32.485,2.5896
23,1.4766,1.1467,33.961,1.5803
24,1.4766,1.1467,35.438,0.47301
0,0.0034899,0.050939,0,0
1,0.0034899,0.050939,0.0034899,0.050939
2,0.0034899,0.050939,0.0069799,0.0038782
0,0.58779,0.76002,0,0
1,0.58779,0.76002,0.58779,0.76002
2,0.58779,0.76002,1.1756,1.422
3,0.58779,0.76002,1.7634,1.9861
4,0.58779,0.76002,2.3511,2.4521
5,0.58779,0.76002,2.9389,2.8201
6,0.58779,0.76002,3.5267,3.0901
7,0.58779,0.76002,4.1145,3.2621
8,0.58779,0.76002,4.7023,3.3361
9,0.58779,0.76002,5.2901,3.3122
10,0.58779,0.76002,5.8779,3.1902
11,0.58779,0.76002,6.4656,2.9702
12,0.58779,0.76002,7.0534,2.6522
13,0.58779,0.76002,7.6412,2.2362
14,0.58779,0.76002,8.229,1.7222
15,0.58779,0.76002,8.8168,1.1103
16,0.58779,0.76002,9.4046,0.40027
0,0.26496,0.37502,0,0
1,0.26496,0.37502,0.26496,0.37502
2,0.26496,0.37502,0.52992,0.65205
3,0.26496,0.37502,0.79488,0.83107
4,0.26496,0.37502,1.0598,0.9121
5,0.26496,0.37502,1.3248,0.89512
6,0.26496,0.37502,1.5898,0.78014
7,0.26496,0.37502,1.8547,0.56717
8,0.26496,0.37502,2.1197,0.25619
0,0.21786,0.28647,0,0
1,0.21786,0.28647,0.21786,0.28647
2,0.21786,0.28647,0.43571,0.47494
3,0.21786,0.28647,0.65357,0.5654
4,0.21786,0.28647,0.87142,0.55787
5,0.21786,0.28647,1.0893,0.45234
6,0.21786,0.28647,1.3071,0.24881
0,0.46359,0.1383,0,0
1,0.46359,0.1383,0.46359,0.1383
2,0.46359,0.1383,0.92718,0.17861
3,0.46359,0.1383,1.3908,0.12091
0,0.80449,0.7012,0,0
1,0.80449,0.7012,0.80449,0.7012
2,0.80449,0.7012,1.609,1.3044
3,0.80449,0.7012,2.4135,1.8096
4,0.80449,0.7012,3.218,2.2168
5,0.80449,0.7012,4.0224,2.526
6,0.80449,0.7012,4.8269,2.7372
7,0.80449,0.7012,5.6314,2.8504
8,0.80449,0.7012,6.4359,2.8656
9,0.80449,0.7012,7.2404,2.7828
10,0.80449,0.7012,8.0449,2.602
11,0.80449,0.7012,8.8494,2.3232
12,0.80449,0.7012,9.6539,1.9464
13,0.80449,0.7012,10.458,1.4716
14,0.80449,0.7012,11.263,0.89877
15,0.80449,0.7012,12.067,0.22797
0,0.73879,0.89661,0,0
1,0.73879,0.89661,0.73879,0.89661
2,0.73879,0.89661,1.4776,1.6952
3,0.73879,0.89661,2.2164,2.3958
4,0.73879,0.89661,2.9552,2.9985
5,0.73879,0.89661,3.694,3.5031
6,0.73879,0.89661,4.4328,3.9097
7,0.73879,0.89661,5.1716,4.2183
8,0.73879,0.89661,5.9104,4.4289
9,0.73879,0.89661,6.6491,4.5415
10,0.73879,0.89661,7.3879,4.5561
11,0.73879,0.89661,8.1267,4.4727
12,0.73879,0.89661,8.8655,4.2914
13,0.73879,0.89661,9.6043,4.012
14,0.73879,0.89661,10.343,3.6346
15,0.73879,0.89661,11.082,3.1592
16,0.73879,0.89661,11.821,2.5858
17,0.73879,0.89661,12.559,1.9144
18,0.73879,0.89661,13.298,1.145
19,0.73879,0.89661,14.037,0.27765
0,1.0103,0.76912,0,0
1,1.0103,0.76912,1.0103,0.76912
2,1.0103,0.76912,2.0206,1.4402
3,1.0103,0.76912,3.0309,2.0133
4,1.0103,0.76912,4.0412,2.4885
5,1.0103,0.76912,5.0514,2.8656
6,1.0103,0.76912,6.0617,3.1447
7,1.0103,0.76912,7.072,3.3258
8,1.0103,0.76912,8.0823,3.4089
9,1.0103,0.76912,9.0926,3.394
10,1.0103,0.76912,10.103,3.2812
11,1.0103,0.76912,11.113,3.0703
12,1.0103,0.76912,12.123,2.7614
13,1.0103,0.76912,13.134,2.3545
14,1.0103,0.76912,14.144,1.8496
15,1.0103,0.76912,15.154,1.2467
16,1.0103,0.76912,16.165,0.54586
0,0.15094,0.082212,0,0
1,0.15094,0.082212,0.15094,0.082212
2,0.15094,0.082212,0.30188,0.066424
0,0.79465,0.37352,0,0
1,0.79465,0.37352,0.79465,0.37352
2,0.79465,0.37352,1.5893,0.64905
3,0.79465,0.37352,2.384,0.82657
4,0.79465,0.37352,3.1786,0.9061
5,0.79465,0.37352,3.9733,0.88762
6,0.79465,0.37352,4.7679,0.77115
7,0.79465,0.37352,5.5626,0.55667
8,0.79465,0.37352,6.3572,0.2442
0,0.47883,1.2666,0,0
1,0.47883,1.2666,0.47883,1.2666
2,0.47883,1.2666,0.95766,2.4351
3,0.47883,1.2666,1.4365,3.5057
4,0.47883,1.2666,1.9153,4.4783
5,0.47883,1.2666,2.3941,5.3528
6,0.47883,1.2666,2.873,6.1294
7,0.47883,1.2666,3.3518,6.808
8,0.47883,1.2666,3.8306,7.3886
9,0.47883,1.2666,4.3095,7.8711
10,0.47883,1.2666,4.7883,8.2557
11,0.47883,1.2666,5.2671,8.5423
12,0.47883,1.2666,5.7459,8.7308
13,0.47883,1.2666,6.2248,8.8214
14,0.47883,1.2666,6.7036,8.814
15,0.47883,1.2666,7.1824,8.7085
16,0.47883,1.2666,7.6613,8.5051
17,0.47883,1.2666,8.1401,8.2037
18,0.47883,1.2666,8.6189,7.8043
19,0.47883,1.2666,9.0977,7.3068
20,0.47883,1.2666,9.5766,6.7114
21,0.47883,1.2666,10.055,6.018
22,0.47883,1.2666,10.534,5.2265
23,0.47883,1.2666,11.013,4.3371
24,0.47883,1.2666,11.492,3.3497
25,0.47883,1.2666,11.971,2.2642
26,0.47883,1.2666,12.45,1.0808
0,0.2287,1.027,0,0
1,0.2287,1.027,0.2287,1.027
2,0.2287,1.027,0.45741,1.9559
3,0.2287,1.027,0.68611,2.7869
4,0.2287,1.027,0.91481,3.5198
5,0.2287,1.027,1.1435,4.1548
6,0.2287,1.027,1.3722,4.6918
7,0.2287,1.027,1.6009,5.1307
8,0.2287,1.027,1.8296,5.4717
9,0.2287,1.027,2.0583,5.7147
10,0.2287,1.027,2.287,5.8596
11,0.2287,1.027,2.5157,5.9066
12,0.2287,1.027,2.7444,5.8555
13,0.2287,1.027,2.9731,5.7065
14,0.2287,1.027,3.2018,5.4595
15,0.2287,1.027,3.4305,5.1144
16,0.2287,1.027,3.6592,4.6714
17,0.2287,1.027,3.8879,4.1304
18,0.2287,1.027,4.1167,3.4913
19,0.2287,1.027,4.3454,2.7543
20,0.2287,1.027,4.5741,1.9192
21,0.2287,1.027,4.8028,0.98621
0,0.59363,0.32194,0,0
1,0.59363,0.32194,0.59363,0.32194
2,0.59363,0.32194,1.1873,0.54589
3,0.59363,0.32194,1.7809,0.67183
4,0.59363,0.32194,2.3745,0.69977
5,0.59363,0.32194,2.9682,0.62972
6,0.59363,0.32194,3.5618,0.46166
7,0.59363,0.32194,4.1554,0.1956
0,0.19225,0.0061275,0,0
1,0.19225,0.0061275,0.19225,0.0061275
0,0.75471,0.60706,0,0
1,0.75471,0.60706,0.75471,0.60706
2,0.75471,0.60706,1.5094,1.1161
3,0.75471,0.60706,2.2641,1.5272
4,0.75471,0.60706,3.0188,1.8402
5,0.75471,0.60706,3.7735,2.0553
6,0.75471,0.60706,4.5283,2.1724
7,0.75471,0.60706,5.283,2.1914
8,0.75471,0.60706,6.0377,2.1125
9,0.75471,0.60706,6.7924,1.9355
10,0.75471,0.60706,7.5471,1.6606
11,0.75471,0.60706,8.3018,1.2876
12,0.75471,0.60706,9.0565,0.81671
13,0.75471,0.60706,9.8112,0.24777
0,0.065114,0.1401,0,0
1,0.065114,0.1401,0.065114,0.1401
2,0.065114,0.1401,0.13023,0.18221
3,0.065114,0.1401,0.19534,0.12631
0,0.86036,1.1797,0,0
1,0.86036,1.1797,0.86036,1.1797
2,0.86036,1.1797,1.7207,2.2615
3,0.86036,1.1797,2.5811,3.2452
4,0.86036,1.1797,3.4415,4.1309
5,0.86036,1.1797,4.3018,4.9186
6,0.86036,1.1797,5.1622,5.6084
7,0.86036,1.1797,6.0226,6.2001
8,0.86036,1.1797,6.8829,6.6938
9,0.86036,1.1797,7.7433,7.0896
10,0.86036,1.1797,8.6036,7.3873
11,0.86036,1.1797,9.464,7.587
12,0.86036,1.1797,10.324,7.6887
13,0.86036,1.1797,11.185,7.6925
14,0.86036,1.1797,12.045,7.5982
15,0.86036,1.1797,12.905,7.4059
16,0.86036,1.1797,13.766,7.1156
17,0.86036,1.1797,14.626,6.7274
18,0.86036,1.1797,15.487,6.2411
19,0.86036,1.1797,16.347,5.6568
20,0.86036,1.1797,17.207,4.9746
21,0.86036,1.1797,18.068,4.1943
22,0.86036,1.1797,18.928,3.316
23,0.86036,1.1797,19.788,2.3397
24,0.86036,1.1797,20.649,1.2655
25,0.86036,1.1797,21.509,0.093202
0,1.4417,0.85186,0,0
1,1.4417,0.85186,1.4417,0.85186
2,1.4417,0.85186,2.8834,1.6057
3,1.4417,0.85186,4.325,2.2616
4,1.4417,0.85186,5.7667,2.8195
5,1.4417,0.85186,7.2084,3.2793
6,1.4417,0.85186,8.6501,3.6412
7,1.4417,0.85186,10.092,3.905
8,1.4417,0.85186,11.533,4.0709
9,1.4417,0.85186,12.975,4.1388
10,1.4417,0.85186,14.417,4.1086
11,1.4417,0.85186,15.858,3.9805
12,1.4417,0.85186,17.3,3.7544
13,1.4417,0.85186,18.742,3.4302
14,1.4417,0.85186,20.184,3.0081
15,1.4417,0.85186,21.625,2.4879
16,1.4417,0.85186,23.067,1.8698
17,1.4417,0.85186,24.509,1.1537
18,1.4417,0.85186,25.95,0.33953
